Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[2].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[3].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[3].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[4].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[4].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[5].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[5].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[6].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[6].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[7].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[7].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[8].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[8].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[9].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[9].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/wide_coef_0/genblk1.coef_sr_0/Primitives,0,256,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/wrap_coef_on/Primitives,0,2,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/wrap_coef_valid/Primitives,0,2,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/wrap_coefi/Primitives,0,32,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/wrap_data_valid/Primitives,0,2,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/wrap_datai/Primitives,0,32,0,0,0,0,0,0,0,0
Coef_Buff/Primitives,0,0,36,36,0,1,0,0,0,0
DATA_HANDLE_0/COREUART_0/CUARTIO1/Primitives,119,19,0,0,0,0,0,0,0,0
DATA_HANDLE_0/COREUART_0/CUARTO01/Primitives,44,32,0,0,0,0,0,0,0,0
DATA_HANDLE_0/COREUART_0/CUARTOO1/Primitives,30,19,0,0,0,0,0,0,0,0
DATA_HANDLE_0/COREUART_0/Primitives,1,9,0,0,0,0,0,0,0,0
DATA_HANDLE_0/UART_IF_0/Primitives,31,61,0,0,0,0,0,0,0,0
FCCC_0/Primitives,0,0,0,0,0,0,0,1,3,0
FFT_Im_Buff/Primitives,0,0,36,36,0,1,0,0,0,0
FFT_Re_Buff/Primitives,0,0,36,36,0,1,0,0,0,0
FILTERCONTROL_FSM_0/Primitives,47,32,0,0,0,0,0,0,0,0
FIR_IN_Buff/Primitives,0,0,36,36,0,1,0,0,0,0
FIR_Out_Buff/Primitives,0,0,36,36,0,1,0,0,0,0
OSC_0/Primitives,0,0,0,0,0,0,0,0,0,1
PB_logic_0/Primitives,4,4,0,0,0,0,0,0,1,0
Primitives/Primitives,1,0,0,0,9,0,0,0,1,0
crc_256_pwr_0/Primitives,107,272,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[0].u0/Primitives,0,128,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[0].u0/u0/Primitives,928,33,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[1].u0/Primitives,0,128,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[1].u0/u0/Primitives,926,192,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[2].u0/Primitives,0,128,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[2].u0/u0/Primitives,918,192,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[3].u0/Primitives,0,256,0,0,0,0,0,0,0,0
crc_256_pwr_0/genblk1[3].u0/u0/Primitives,924,192,0,0,0,0,0,0,0,0
led_blink_0/Primitives,32,30,0,0,0,0,0,0,1,0
